Customer ID,Recency,Frequency,Monetary,Cluster,Persona,Recommended_Action
12415,24,28,144458.37,2,High-value,Loyalty programs and personalized discounts
12416,657,1,202.56,1,at-risk,Re-engagement campaigns and special offers
12417,3,20,6816.91,0,Regular,Send targeted promotions to increase engagement
12418,113,4,2021.2,0,Regular,Send targeted promotions to increase engagement
12419,386,2,503.01,1,at-risk,Re-engagement campaigns and special offers
12420,64,1,600.39,0,Regular,Send targeted promotions to increase engagement
12421,16,6,1098.6,0,Regular,Send targeted promotions to increase engagement
12422,96,17,5231.8,0,Regular,Send targeted promotions to increase engagement
12423,1,10,2622.39,0,Regular,Send targeted promotions to increase engagement
12424,163,4,3340.03,0,Regular,Send targeted promotions to increase engagement
12425,78,2,1741.41,0,Regular,Send targeted promotions to increase engagement
12426,195,2,1345.21,0,Regular,Send targeted promotions to increase engagement
12427,22,3,1129.3,0,Regular,Send targeted promotions to increase engagement
12428,26,9,7956.46,0,Regular,Send targeted promotions to increase engagement
12429,9,8,7485.91,0,Regular,Send targeted promotions to increase engagement
12430,43,1,256.4,0,Regular,Send targeted promotions to increase engagement
12431,36,27,10857.97,0,Regular,Send targeted promotions to increase engagement
12432,43,5,5059.32,0,Regular,Send targeted promotions to increase engagement
12433,1,10,20581.26,0,Regular,Send targeted promotions to increase engagement
12434,85,3,1103.43,0,Regular,Send targeted promotions to increase engagement
12435,80,6,13925.93,0,Regular,Send targeted promotions to increase engagement
12436,100,1,509.01,0,Regular,Send targeted promotions to increase engagement
12437,2,39,12683.4,0,Regular,Send targeted promotions to increase engagement
12438,14,2,2906.85,0,Regular,Send targeted promotions to increase engagement
12439,683,2,1158.18,1,at-risk,Re-engagement campaigns and special offers
12440,462,2,859.2,1,at-risk,Re-engagement campaigns and special offers
12441,367,1,347.1,1,at-risk,Re-engagement campaigns and special offers
12442,3,1,172.06,0,Regular,Send targeted promotions to increase engagement
12443,732,1,485.31,1,at-risk,Re-engagement campaigns and special offers
12444,21,5,5005.46,0,Regular,Send targeted promotions to increase engagement
12445,22,2,434.98,0,Regular,Send targeted promotions to increase engagement
12446,58,1,1002.3100000000001,0,Regular,Send targeted promotions to increase engagement
12447,243,1,476.49,0,Regular,Send targeted promotions to increase engagement
12448,44,1,449.45,0,Regular,Send targeted promotions to increase engagement
12449,22,6,4835.89,0,Regular,Send targeted promotions to increase engagement
12450,156,5,688.2,0,Regular,Send targeted promotions to increase engagement
12451,11,8,12669.88,0,Regular,Send targeted promotions to increase engagement
12452,17,2,430.57,0,Regular,Send targeted promotions to increase engagement
12453,134,1,707.09,0,Regular,Send targeted promotions to increase engagement
12454,56,5,16679.78,0,Regular,Send targeted promotions to increase engagement
12455,73,10,5879.95,0,Regular,Send targeted promotions to increase engagement
12456,44,3,3181.04,0,Regular,Send targeted promotions to increase engagement
12457,66,8,2995.91,0,Regular,Send targeted promotions to increase engagement
12458,71,4,1777.49,0,Regular,Send targeted promotions to increase engagement
12459,605,1,454.36,1,at-risk,Re-engagement campaigns and special offers
12460,456,1,326.65,1,at-risk,Re-engagement campaigns and special offers
12461,94,2,826.88,0,Regular,Send targeted promotions to increase engagement
12462,19,2,1189.59,0,Regular,Send targeted promotions to increase engagement
12463,53,4,1344.78,0,Regular,Send targeted promotions to increase engagement
12464,10,8,1212.05,0,Regular,Send targeted promotions to increase engagement
12465,17,2,742.1899999999999,0,Regular,Send targeted promotions to increase engagement
12466,682,1,56.73,1,at-risk,Re-engagement campaigns and special offers
12467,423,1,132.8,1,at-risk,Re-engagement campaigns and special offers
12468,188,5,3670.74,0,Regular,Send targeted promotions to increase engagement
12469,523,2,3070.54,1,at-risk,Re-engagement campaigns and special offers
12470,690,1,211.95,1,at-risk,Re-engagement campaigns and special offers
12471,2,79,39963.79,2,High-value,Loyalty programs and personalized discounts
12472,32,19,17880.59,0,Regular,Send targeted promotions to increase engagement
12473,29,5,3938.5499999999997,0,Regular,Send targeted promotions to increase engagement
12474,17,31,12424.45,0,Regular,Send targeted promotions to increase engagement
12475,54,2,1149.64,0,Regular,Send targeted promotions to increase engagement
12476,16,23,14115.41,0,Regular,Send targeted promotions to increase engagement
12477,23,9,20276.37,0,Regular,Send targeted promotions to increase engagement
12478,4,1,680.99,0,Regular,Send targeted promotions to increase engagement
12479,11,1,527.2,0,Regular,Send targeted promotions to increase engagement
12480,28,7,5464.85,0,Regular,Send targeted promotions to increase engagement
12481,23,15,12361.39,0,Regular,Send targeted promotions to increase engagement
12482,576,29,23691.4,1,at-risk,Re-engagement campaigns and special offers
12483,17,19,5120.58,0,Regular,Send targeted promotions to increase engagement
12484,33,12,6370.15,0,Regular,Send targeted promotions to increase engagement
12485,529,1,708.1,1,at-risk,Re-engagement campaigns and special offers
12486,432,1,1037.28,1,at-risk,Re-engagement campaigns and special offers
12487,731,1,285.29999999999995,1,at-risk,Re-engagement campaigns and special offers
12488,10,3,1298.66,0,Regular,Send targeted promotions to increase engagement
12489,336,1,334.93,1,at-risk,Re-engagement campaigns and special offers
12490,5,21,9823.64,0,Regular,Send targeted promotions to increase engagement
12491,39,1,460.40000000000003,0,Regular,Send targeted promotions to increase engagement
12492,63,3,715.21,0,Regular,Send targeted promotions to increase engagement
12493,166,2,433.74,0,Regular,Send targeted promotions to increase engagement
12494,16,9,1872.8700000000001,0,Regular,Send targeted promotions to increase engagement
12495,641,1,357.4,1,at-risk,Re-engagement campaigns and special offers
12496,620,2,54.09,1,at-risk,Re-engagement campaigns and special offers
12497,82,3,6248.5,0,Regular,Send targeted promotions to increase engagement
12498,21,3,403.70000000000005,0,Regular,Send targeted promotions to increase engagement
12499,560,1,393.72,1,at-risk,Re-engagement campaigns and special offers
12500,23,19,5955.21,0,Regular,Send targeted promotions to increase engagement
12501,337,1,2169.39,1,at-risk,Re-engagement campaigns and special offers
12502,96,5,3723.87,0,Regular,Send targeted promotions to increase engagement
12503,584,1,1126.0,1,at-risk,Re-engagement campaigns and special offers
12504,18,4,779.05,0,Regular,Send targeted promotions to increase engagement
12505,409,1,955.2,1,at-risk,Re-engagement campaigns and special offers
12506,233,1,73.5,0,Regular,Send targeted promotions to increase engagement
12507,134,4,1844.06,0,Regular,Send targeted promotions to increase engagement
12508,26,2,398.27,0,Regular,Send targeted promotions to increase engagement
12509,284,1,176.5,1,at-risk,Re-engagement campaigns and special offers
12510,143,9,5178.02,0,Regular,Send targeted promotions to increase engagement
12511,429,1,3084.02,1,at-risk,Re-engagement campaigns and special offers
12512,66,2,138.03,0,Regular,Send targeted promotions to increase engagement
12513,113,1,612.29,0,Regular,Send targeted promotions to increase engagement
12514,267,2,1597.76,1,at-risk,Re-engagement campaigns and special offers
12515,353,1,383.7,1,at-risk,Re-engagement campaigns and special offers
12516,78,4,2648.62,0,Regular,Send targeted promotions to increase engagement
12517,28,5,2502.84,0,Regular,Send targeted promotions to increase engagement
12518,1,5,2056.89,0,Regular,Send targeted promotions to increase engagement
12519,64,2,726.54,0,Regular,Send targeted promotions to increase engagement
12520,79,5,2634.26,0,Regular,Send targeted promotions to increase engagement
12521,143,1,599.68,0,Regular,Send targeted promotions to increase engagement
12522,39,2,192.72,0,Regular,Send targeted promotions to increase engagement
12523,19,23,4372.15,0,Regular,Send targeted promotions to increase engagement
12524,9,17,11126.11,0,Regular,Send targeted promotions to increase engagement
12525,498,3,973.73,1,at-risk,Re-engagement campaigns and special offers
12526,1,3,1316.66,0,Regular,Send targeted promotions to increase engagement
12527,82,5,735.51,0,Regular,Send targeted promotions to increase engagement
12528,9,6,1933.48,0,Regular,Send targeted promotions to increase engagement
12529,528,1,316.48,1,at-risk,Re-engagement campaigns and special offers
12530,60,9,3759.26,0,Regular,Send targeted promotions to increase engagement
12531,15,2,1933.2,0,Regular,Send targeted promotions to increase engagement
12532,30,1,349.83000000000004,0,Regular,Send targeted promotions to increase engagement
12533,628,2,1367.89,1,at-risk,Re-engagement campaigns and special offers
12534,131,1,1089.18,0,Regular,Send targeted promotions to increase engagement
12535,92,2,716.35,0,Regular,Send targeted promotions to increase engagement
12536,43,3,12601.830000000002,0,Regular,Send targeted promotions to increase engagement
12537,409,1,732.94,1,at-risk,Re-engagement campaigns and special offers
12538,29,2,640.45,0,Regular,Send targeted promotions to increase engagement
12539,22,7,11214.75,0,Regular,Send targeted promotions to increase engagement
12540,20,33,22254.49,0,Regular,Send targeted promotions to increase engagement
12541,30,3,981.18,0,Regular,Send targeted promotions to increase engagement
12542,484,2,481.88,1,at-risk,Re-engagement campaigns and special offers
12543,448,1,980.25,1,at-risk,Re-engagement campaigns and special offers
12544,36,1,372.7,0,Regular,Send targeted promotions to increase engagement
12545,75,2,1000.39,0,Regular,Send targeted promotions to increase engagement
12546,47,2,1161.5,0,Regular,Send targeted promotions to increase engagement
12547,198,3,383.58,0,Regular,Send targeted promotions to increase engagement
12548,166,1,95.19999999999999,0,Regular,Send targeted promotions to increase engagement
12549,576,6,1575.68,1,at-risk,Re-engagement campaigns and special offers
12550,79,1,964.83,0,Regular,Send targeted promotions to increase engagement
12551,358,1,168.0,1,at-risk,Re-engagement campaigns and special offers
12552,39,2,437.82,0,Regular,Send targeted promotions to increase engagement
12553,8,12,4608.75,0,Regular,Send targeted promotions to increase engagement
12554,449,1,468.5,1,at-risk,Re-engagement campaigns and special offers
12555,682,1,129.23,1,at-risk,Re-engagement campaigns and special offers
12556,50,2,603.71,0,Regular,Send targeted promotions to increase engagement
12557,16,8,18716.14,0,Regular,Send targeted promotions to increase engagement
12558,8,1,269.96,0,Regular,Send targeted promotions to increase engagement
12559,311,2,561.71,1,at-risk,Re-engagement campaigns and special offers
12560,5,3,2134.01,0,Regular,Send targeted promotions to increase engagement
12561,303,1,238.85,1,at-risk,Re-engagement campaigns and special offers
12562,8,9,4966.92,0,Regular,Send targeted promotions to increase engagement
12563,409,1,249.24,1,at-risk,Re-engagement campaigns and special offers
12564,261,1,456.9,1,at-risk,Re-engagement campaigns and special offers
12565,289,1,145.92,1,at-risk,Re-engagement campaigns and special offers
12566,86,1,351.65,0,Regular,Send targeted promotions to increase engagement
12567,23,15,13709.86,0,Regular,Send targeted promotions to increase engagement
12568,645,1,70.0,1,at-risk,Re-engagement campaigns and special offers
12569,2,32,4124.69,0,Regular,Send targeted promotions to increase engagement
12570,682,1,77.52,1,at-risk,Re-engagement campaigns and special offers
12571,40,2,519.61,0,Regular,Send targeted promotions to increase engagement
12572,9,2,1020.42,0,Regular,Send targeted promotions to increase engagement
12573,227,5,717.41,0,Regular,Send targeted promotions to increase engagement
12574,316,1,218.45,1,at-risk,Re-engagement campaigns and special offers
12575,457,2,622.8199999999999,1,at-risk,Re-engagement campaigns and special offers
12576,36,8,2142.72,0,Regular,Send targeted promotions to increase engagement
12577,35,8,1653.75,0,Regular,Send targeted promotions to increase engagement
12578,21,4,4642.45,0,Regular,Send targeted promotions to increase engagement
12579,78,1,440.42,0,Regular,Send targeted promotions to increase engagement
12580,247,2,1052.9,0,Regular,Send targeted promotions to increase engagement
12581,40,1,197.71,0,Regular,Send targeted promotions to increase engagement
12582,239,4,1980.4,0,Regular,Send targeted promotions to increase engagement
12583,3,27,14447.44,0,Regular,Send targeted promotions to increase engagement
12584,4,9,2338.15,0,Regular,Send targeted promotions to increase engagement
12585,234,2,2040.1,0,Regular,Send targeted promotions to increase engagement
12586,17,4,2062.67,0,Regular,Send targeted promotions to increase engagement
12587,8,1,144.0,0,Regular,Send targeted promotions to increase engagement
12588,39,4,958.78,0,Regular,Send targeted promotions to increase engagement
12589,29,8,4695.66,0,Regular,Send targeted promotions to increase engagement
12590,211,2,9864.26,0,Regular,Send targeted promotions to increase engagement
12591,317,3,1352.15,1,at-risk,Re-engagement campaigns and special offers
12592,92,5,2582.66,0,Regular,Send targeted promotions to increase engagement
12593,109,3,418.09999999999997,0,Regular,Send targeted promotions to increase engagement
12594,38,15,5090.110000000001,0,Regular,Send targeted promotions to increase engagement
12595,505,1,299.02,1,at-risk,Re-engagement campaigns and special offers
12596,51,2,618.27,0,Regular,Send targeted promotions to increase engagement
12597,19,4,3811.22,0,Regular,Send targeted promotions to increase engagement
12598,10,11,4534.09,0,Regular,Send targeted promotions to increase engagement
12599,29,13,2296.72,0,Regular,Send targeted promotions to increase engagement
12600,29,21,5043.92,0,Regular,Send targeted promotions to increase engagement
12601,190,6,681.26,0,Regular,Send targeted promotions to increase engagement
12602,59,1,153.12,0,Regular,Send targeted promotions to increase engagement
12603,22,1,739.1999999999999,0,Regular,Send targeted promotions to increase engagement
12604,79,2,254.18,0,Regular,Send targeted promotions to increase engagement
12605,376,4,1232.95,1,at-risk,Re-engagement campaigns and special offers
12606,682,1,21.0,1,at-risk,Re-engagement campaigns and special offers
12607,60,1,1579.51,0,Regular,Send targeted promotions to increase engagement
12608,405,1,415.79,1,at-risk,Re-engagement campaigns and special offers
12609,78,9,3435.86,0,Regular,Send targeted promotions to increase engagement
12610,23,5,2099.54,0,Regular,Send targeted promotions to increase engagement
12611,52,1,1193.32,0,Regular,Send targeted promotions to increase engagement
12612,74,1,704.0400000000001,0,Regular,Send targeted promotions to increase engagement
12613,57,10,6835.07,0,Regular,Send targeted promotions to increase engagement
12614,278,1,315.6,1,at-risk,Re-engagement campaigns and special offers
12615,2,8,5740.98,0,Regular,Send targeted promotions to increase engagement
12616,95,3,1131.1,0,Regular,Send targeted promotions to increase engagement
12617,29,1,355.53,0,Regular,Send targeted promotions to increase engagement
12618,22,1,177.31,0,Regular,Send targeted promotions to increase engagement
12619,16,10,3781.38,0,Regular,Send targeted promotions to increase engagement
12620,15,3,1339.41,0,Regular,Send targeted promotions to increase engagement
12621,2,35,24775.81,0,Regular,Send targeted promotions to increase engagement
12622,232,1,180.1,0,Regular,Send targeted promotions to increase engagement
12623,276,7,3747.84,1,at-risk,Re-engagement campaigns and special offers
12624,106,2,641.13,0,Regular,Send targeted promotions to increase engagement
12625,212,4,5164.88,0,Regular,Send targeted promotions to increase engagement
12626,23,9,6620.48,0,Regular,Send targeted promotions to increase engagement
12627,11,7,4478.53,0,Regular,Send targeted promotions to increase engagement
12628,4,3,786.46,0,Regular,Send targeted promotions to increase engagement
12629,386,2,1558.22,1,at-risk,Re-engagement campaigns and special offers
12630,10,2,1270.88,0,Regular,Send targeted promotions to increase engagement
12631,57,6,3481.57,0,Regular,Send targeted promotions to increase engagement
12632,521,2,804.88,1,at-risk,Re-engagement campaigns and special offers
12633,59,7,5678.16,0,Regular,Send targeted promotions to increase engagement
12634,536,2,490.0,1,at-risk,Re-engagement campaigns and special offers
12635,90,4,2930.41,0,Regular,Send targeted promotions to increase engagement
12636,739,1,141.0,1,at-risk,Re-engagement campaigns and special offers
12637,67,12,8340.31,0,Regular,Send targeted promotions to increase engagement
12638,33,2,921.49,0,Regular,Send targeted promotions to increase engagement
12639,239,3,1312.37,0,Regular,Send targeted promotions to increase engagement
12640,24,3,1174.58,0,Regular,Send targeted promotions to increase engagement
12641,115,1,185.9,0,Regular,Send targeted promotions to increase engagement
12642,25,3,1013.26,0,Regular,Send targeted promotions to increase engagement
12643,128,12,8350.42,0,Regular,Send targeted promotions to increase engagement
12644,130,4,1918.49,0,Regular,Send targeted promotions to increase engagement
12645,34,8,3539.3,0,Regular,Send targeted promotions to increase engagement
12646,5,2,1346.97,0,Regular,Send targeted promotions to increase engagement
12647,22,36,17924.35,0,Regular,Send targeted promotions to increase engagement
12648,155,4,1112.0,0,Regular,Send targeted promotions to increase engagement
12649,107,8,2294.65,0,Regular,Send targeted promotions to increase engagement
12650,3,1,314.44,0,Regular,Send targeted promotions to increase engagement
12651,335,4,377.75,1,at-risk,Re-engagement campaigns and special offers
12652,331,2,1017.03,1,at-risk,Re-engagement campaigns and special offers
12653,149,3,4160.83,0,Regular,Send targeted promotions to increase engagement
12654,11,5,601.98,0,Regular,Send targeted promotions to increase engagement
12655,424,1,261.35,1,at-risk,Re-engagement campaigns and special offers
12656,17,8,6407.83,0,Regular,Send targeted promotions to increase engagement
12657,11,4,1643.18,0,Regular,Send targeted promotions to increase engagement
12658,19,1,686.05,0,Regular,Send targeted promotions to increase engagement
12659,30,1,91.68,0,Regular,Send targeted promotions to increase engagement
12660,11,1,245.1,0,Regular,Send targeted promotions to increase engagement
12661,436,1,162.0,1,at-risk,Re-engagement campaigns and special offers
12662,1,20,6988.02,0,Regular,Send targeted promotions to increase engagement
12663,625,2,239.4,1,at-risk,Re-engagement campaigns and special offers
12664,8,11,6070.04,0,Regular,Send targeted promotions to increase engagement
12665,325,3,313.6,1,at-risk,Re-engagement campaigns and special offers
12666,394,1,1248.42,1,at-risk,Re-engagement campaigns and special offers
12667,58,1,620.13,0,Regular,Send targeted promotions to increase engagement
12668,12,10,11444.68,0,Regular,Send targeted promotions to increase engagement
12669,151,3,2744.0299999999997,0,Regular,Send targeted promotions to increase engagement
12670,10,7,3760.29,0,Regular,Send targeted promotions to increase engagement
12671,606,1,2622.481,1,at-risk,Re-engagement campaigns and special offers
12672,330,2,437.05,1,at-risk,Re-engagement campaigns and special offers
12673,5,3,1230.02,0,Regular,Send targeted promotions to increase engagement
12674,39,4,1970.6,0,Regular,Send targeted promotions to increase engagement
12675,554,2,958.5,1,at-risk,Re-engagement campaigns and special offers
12676,25,11,2843.09,0,Regular,Send targeted promotions to increase engagement
12677,555,2,395.1,1,at-risk,Re-engagement campaigns and special offers
12678,42,21,34281.18,0,Regular,Send targeted promotions to increase engagement
12679,59,4,1113.02,0,Regular,Send targeted promotions to increase engagement
12680,1,4,880.81,0,Regular,Send targeted promotions to increase engagement
12681,15,45,30868.28,0,Regular,Send targeted promotions to increase engagement
12682,4,52,24033.91,0,Regular,Send targeted promotions to increase engagement
12683,4,21,12696.78,0,Regular,Send targeted promotions to increase engagement
12684,8,7,2283.63,0,Regular,Send targeted promotions to increase engagement
12685,28,6,2863.08,0,Regular,Send targeted promotions to increase engagement
12686,372,1,178.28,1,at-risk,Re-engagement campaigns and special offers
12687,481,2,2138.91,1,at-risk,Re-engagement campaigns and special offers
12688,114,1,4873.8099999999995,0,Regular,Send targeted promotions to increase engagement
12689,26,2,1247.61,0,Regular,Send targeted promotions to increase engagement
12690,206,1,389.01,0,Regular,Send targeted promotions to increase engagement
12691,28,7,1170.4,0,Regular,Send targeted promotions to increase engagement
12692,637,1,110.95,1,at-risk,Re-engagement campaigns and special offers
12693,127,7,1703.02,0,Regular,Send targeted promotions to increase engagement
12694,70,3,1843.35,0,Regular,Send targeted promotions to increase engagement
12695,7,7,1407.1200000000001,0,Regular,Send targeted promotions to increase engagement
12696,435,2,851.91,1,at-risk,Re-engagement campaigns and special offers
12697,29,3,957.59,0,Regular,Send targeted promotions to increase engagement
12698,590,1,339.75,1,at-risk,Re-engagement campaigns and special offers
12699,418,1,638.11,1,at-risk,Re-engagement campaigns and special offers
12700,8,4,4939.99,0,Regular,Send targeted promotions to increase engagement
12701,80,6,2446.41,0,Regular,Send targeted promotions to increase engagement
12702,20,1,219.0,0,Regular,Send targeted promotions to increase engagement
12703,71,4,1006.53,0,Regular,Send targeted promotions to increase engagement
12704,7,8,2340.84,0,Regular,Send targeted promotions to increase engagement
12705,15,14,11762.1,0,Regular,Send targeted promotions to increase engagement
12707,292,1,603.42,1,at-risk,Re-engagement campaigns and special offers
12708,30,18,5314.1,0,Regular,Send targeted promotions to increase engagement
12709,15,34,31093.34,0,Regular,Send targeted promotions to increase engagement
12710,97,3,1149.02,0,Regular,Send targeted promotions to increase engagement
12711,612,2,1339.05,1,at-risk,Re-engagement campaigns and special offers
12712,29,21,7193.66,0,Regular,Send targeted promotions to increase engagement
12713,1,1,848.55,0,Regular,Send targeted promotions to increase engagement
12714,9,12,14093.71,0,Regular,Send targeted promotions to increase engagement
12715,106,1,353.86,0,Regular,Send targeted promotions to increase engagement
12716,4,2,1053.49,0,Regular,Send targeted promotions to increase engagement
12717,151,3,1308.91,0,Regular,Send targeted promotions to increase engagement
12718,71,1,238.25,0,Regular,Send targeted promotions to increase engagement
12719,5,2,644.95,0,Regular,Send targeted promotions to increase engagement
12720,3,30,8260.67,0,Regular,Send targeted promotions to increase engagement
12721,32,8,4013.08,0,Regular,Send targeted promotions to increase engagement
12722,85,4,997.63,0,Regular,Send targeted promotions to increase engagement
12723,4,5,725.07,0,Regular,Send targeted promotions to increase engagement
12724,5,7,2317.52,0,Regular,Send targeted promotions to increase engagement
12725,371,4,2694.56,1,at-risk,Re-engagement campaigns and special offers
12726,28,11,4014.6,0,Regular,Send targeted promotions to increase engagement
12727,11,10,5679.53,0,Regular,Send targeted promotions to increase engagement
12728,71,5,1070.17,0,Regular,Send targeted promotions to increase engagement
12729,114,1,453.01,0,Regular,Send targeted promotions to increase engagement
12730,522,1,829.25,1,at-risk,Re-engagement campaigns and special offers
12731,24,17,25775.71,0,Regular,Send targeted promotions to increase engagement
12732,180,1,236.26000000000002,0,Regular,Send targeted promotions to increase engagement
12733,234,4,2424.87,0,Regular,Send targeted promotions to increase engagement
12734,353,3,639.65,1,at-risk,Re-engagement campaigns and special offers
12735,315,2,779.5699999999999,1,at-risk,Re-engagement campaigns and special offers
12736,333,1,234.0,1,at-risk,Re-engagement campaigns and special offers
12737,499,2,3710.5,1,at-risk,Re-engagement campaigns and special offers
12738,372,1,310.7,1,at-risk,Re-engagement campaigns and special offers
12739,78,4,2726.73,0,Regular,Send targeted promotions to increase engagement
12740,64,1,427.6,0,Regular,Send targeted promotions to increase engagement
12741,529,2,406.07,1,at-risk,Re-engagement campaigns and special offers
12742,626,1,1201.52,1,at-risk,Re-engagement campaigns and special offers
12743,134,2,546.43,0,Regular,Send targeted promotions to increase engagement
12744,52,11,25317.06,0,Regular,Send targeted promotions to increase engagement
12745,487,3,925.41,1,at-risk,Re-engagement campaigns and special offers
12746,541,1,254.55,1,at-risk,Re-engagement campaigns and special offers
12747,2,26,9276.539999999999,0,Regular,Send targeted promotions to increase engagement
12748,1,337,56599.39,2,High-value,Loyalty programs and personalized discounts
12749,4,9,6897.36,0,Regular,Send targeted promotions to increase engagement
12750,129,1,275.88,0,Regular,Send targeted promotions to increase engagement
12751,445,1,268.27,1,at-risk,Re-engagement campaigns and special offers
12752,81,1,4366.78,0,Regular,Send targeted promotions to increase engagement
12753,23,6,21429.39,0,Regular,Send targeted promotions to increase engagement
12754,236,3,3010.74,0,Regular,Send targeted promotions to increase engagement
12755,281,11,9030.66,0,Regular,Send targeted promotions to increase engagement
12756,87,1,112.07999999999998,0,Regular,Send targeted promotions to increase engagement
12757,16,13,7857.1,0,Regular,Send targeted promotions to increase engagement
12758,117,7,9903.24,0,Regular,Send targeted promotions to increase engagement
12759,52,8,5020.74,0,Regular,Send targeted promotions to increase engagement
12760,456,1,347.8,1,at-risk,Re-engagement campaigns and special offers
12761,458,2,782.95,1,at-risk,Re-engagement campaigns and special offers
12762,8,2,1898.52,0,Regular,Send targeted promotions to increase engagement
12763,138,2,814.16,0,Regular,Send targeted promotions to increase engagement
12764,317,1,1693.88,1,at-risk,Re-engagement campaigns and special offers
12765,472,6,1404.58,1,at-risk,Re-engagement campaigns and special offers
12766,4,9,10068.28,0,Regular,Send targeted promotions to increase engagement
12767,376,1,949.82,1,at-risk,Re-engagement campaigns and special offers
